year,rank,region,state,airport_code,airport_name,service_level,hub_type,boardings,previous_year_boardings,yoy_change
2012,3,WP,CA,LAX,Los Angeles International,P,L,31326268,30528737,0.0261
2012,7,WP,CA,SFO,San Francisco International,P,L,21284236,20056568,0.0612
2012,5,NM,CO,DEN,Denver International,P,L,25799841,25667499,0.0052
2012,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,45798928,44414121,0.0312
2012,2,GL,IL,ORD,Chicago O'Hare International,P,L,32171795,31892301,0.0088
2012,9,WP,NV,LAS,McCarran International,P,L,19959651,19872617,0.0044
2012,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,28022904,27518358,0.0183
2012,15,NM,WA,SEA,Seattle-Tacoma International,P,L,16121123,15971676,0.0094
2013,2,WP,CA,LAX,Los Angeles International,P,L,32425892,31326268,0.0351
2013,7,WP,CA,SFO,San Francisco International,P,L,21704626,21284236,0.0198
2013,5,NM,CO,DEN,Denver International,P,L,25496885,25799841,-0.0117
2013,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,45308407,45798928,-0.0107
2013,3,GL,IL,ORD,Chicago O'Hare International,P,L,32317835,32171795,0.0045
2013,9,WP,NV,LAS,McCarran International,P,L,19946179,19959651,-0.0007
2013,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,29038128,28022904,0.0362
2013,15,NM,WA,SEA,Seattle-Tacoma International,P,L,16690295,16121123,0.0353
2014,2,WP,CA,LAX,Los Angeles International,P,L,34314197,32425892,0.0582
2014,7,WP,CA,SFO,San Francisco International,P,L,22770783,21704626,0.0491
2014,6,NM,CO,DEN,Denver International,P,L,26000591,25496885,0.0198
2014,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,46604273,45308407,0.0286
2014,3,GL,IL,ORD,Chicago O'Hare International,P,L,33843426,32317835,0.0472
2014,9,WP,NV,LAS,McCarran International,P,L,20620248,19946179,0.0338
2014,4,SW,TX,DFW,Dallas/Fort Worth International,P,L,30804567,29038128,0.0608
2014,13,NM,WA,SEA,Seattle-Tacoma International,P,L,17888080,16690295,0.0718
2015,2,WP,CA,LAX,Los Angeles International,P,L,36351272,34314197,0.0594
2015,7,WP,CA,SFO,San Francisco International,P,L,24190560,22770783,0.0624
2015,6,NM,CO,DEN,Denver International,P,L,26280043,26000591,0.0107
2015,1,SO,GA,ATL,Hartsfield - Jackson Atlanta International,P,L,49340732,46604273,0.0587
2015,3,GL,IL,ORD,Chicago O'Hare International,P,L,36305668,33843426,0.0728
2015,9,WP,NV,LAS,McCarran International,P,L,21857693,20620248,0.06
2015,4,SW,TX,DFW,Dallas-Fort Worth International,P,L,31589839,30804567,0.0255
2015,13,NM,WA,SEA,Seattle-Tacoma International,P,L,20148980,17888080,0.1264
2016,2,WP,CA,LAX,Los Angeles International,P,L,39636042,36351272,0.0904
2016,7,WP,CA,SFO,San Francisco International,P,L,25707101,24190560,0.0627
